0,50_1_0.001_0.001_0.15_0.2_(256; 256)_(256; 256),100,0.1424999968148768
0,50_1_0.001_0.001_0.15_0.2_(256; 256)_(256; 256),200,0.009499999787658453
0,50_1_0.001_0.001_0.15_0.2_(256; 256)_(256; 256),300,0.008399999812245368
0,50_1_0.001_0.001_0.15_0.2_(256; 256)_(256; 256),400,0.008499999810010195
0,50_1_0.001_0.001_0.15_0.2_(256; 256)_(256; 256),500,0.005099999886006117
0,50_1_0.001_0.001_0.15_0.2_(256; 256)_(256; 256),600,0.013099999707192183
0,50_1_0.001_0.001_0.15_0.2_(256; 256)_(256; 256),700,0.004799999892711639
0,50_1_0.001_0.001_0.15_0.2_(256; 256)_(256; 256),800,0.011899999734014273
0,50_1_0.001_0.001_0.15_0.2_(256; 256)_(256; 256),900,0.013799999691545963
0,50_1_0.001_0.001_0.15_0.2_(256; 256)_(256; 256),1000,0.007199999839067459
1,50_4_0.001_0.001_0.15_0.2_(256; 256)_(256; 256),100,0.5709999872371554
1,50_4_0.001_0.001_0.15_0.2_(256; 256)_(256; 256),200,1.1377999745681882
1,50_4_0.001_0.001_0.15_0.2_(256; 256)_(256; 256),300,0.8125999818369746
1,50_4_0.001_0.001_0.15_0.2_(256; 256)_(256; 256),400,0.5805999870225788
1,50_4_0.001_0.001_0.15_0.2_(256; 256)_(256; 256),500,0.49929998883977533
1,50_4_0.001_0.001_0.15_0.2_(256; 256)_(256; 256),600,0.5472999877668917
1,50_4_0.001_0.001_0.15_0.2_(256; 256)_(256; 256),700,0.6036999865062534
1,50_4_0.001_0.001_0.15_0.2_(256; 256)_(256; 256),800,0.4906999890320003
1,50_4_0.001_0.001_0.15_0.2_(256; 256)_(256; 256),900,0.5850999869219958
1,50_4_0.001_0.001_0.15_0.2_(256; 256)_(256; 256),1000,0.46469998961314557
2,50_8_0.001_0.001_0.15_0.2_(256; 256)_(256; 256),100,0.9228999793715775
2,50_8_0.001_0.001_0.15_0.2_(256; 256)_(256; 256),200,1.1190999749861659
2,50_8_0.001_0.001_0.15_0.2_(256; 256)_(256; 256),300,1.263599971756339
2,50_8_0.001_0.001_0.15_0.2_(256; 256)_(256; 256),400,1.7157999616488815
2,50_8_0.001_0.001_0.15_0.2_(256; 256)_(256; 256),500,1.471499967109412
2,50_8_0.001_0.001_0.15_0.2_(256; 256)_(256; 256),600,1.9917999554798007
2,50_8_0.001_0.001_0.15_0.2_(256; 256)_(256; 256),700,1.8005999597534537
2,50_8_0.001_0.001_0.15_0.2_(256; 256)_(256; 256),800,1.0351999768614768
2,50_8_0.001_0.001_0.15_0.2_(256; 256)_(256; 256),900,0.9390999790094793
2,50_8_0.001_0.001_0.15_0.2_(256; 256)_(256; 256),1000,0.947299978826195
3,50_12_0.001_0.001_0.15_0.2_(256; 256)_(256; 256),100,0.1870999958179891
3,50_12_0.001_0.001_0.15_0.2_(256; 256)_(256; 256),200,0.4589999897405505
3,50_12_0.001_0.001_0.15_0.2_(256; 256)_(256; 256),300,0.1269999971613288
3,50_12_0.001_0.001_0.15_0.2_(256; 256)_(256; 256),400,0.28329999366775155
3,50_12_0.001_0.001_0.15_0.2_(256; 256)_(256; 256),500,0.2968999933637679
3,50_12_0.001_0.001_0.15_0.2_(256; 256)_(256; 256),600,0.28789999356493357
3,50_12_0.001_0.001_0.15_0.2_(256; 256)_(256; 256),700,0.24519999451935293
3,50_12_0.001_0.001_0.15_0.2_(256; 256)_(256; 256),800,0.2792999937571585
3,50_12_0.001_0.001_0.15_0.2_(256; 256)_(256; 256),900,0.32109999282285573
3,50_12_0.001_0.001_0.15_0.2_(256; 256)_(256; 256),1000,0.2903999935090542
4,50_16_0.001_0.001_0.15_0.2_(256; 256)_(256; 256),100,0.2373999946936965
4,50_16_0.001_0.001_0.15_0.2_(256; 256)_(256; 256),200,0.26429999409243465
4,50_16_0.001_0.001_0.15_0.2_(256; 256)_(256; 256),300,0.26009999418631197
4,50_16_0.001_0.001_0.15_0.2_(256; 256)_(256; 256),400,0.5701999872550368
4,50_16_0.001_0.001_0.15_0.2_(256; 256)_(256; 256),500,0.5559999875724315
4,50_16_0.001_0.001_0.15_0.2_(256; 256)_(256; 256),600,0.5864999868907035
4,50_16_0.001_0.001_0.15_0.2_(256; 256)_(256; 256),700,0.5772999870963395
4,50_16_0.001_0.001_0.15_0.2_(256; 256)_(256; 256),800,0.48799998909235
4,50_16_0.001_0.001_0.15_0.2_(256; 256)_(256; 256),900,0.5302999881468713
4,50_16_0.001_0.001_0.15_0.2_(256; 256)_(256; 256),1000,0.5942999867163599
5,50_20_0.001_0.001_0.15_0.2_(256; 256)_(256; 256),100,0.4356999902613461
5,50_20_0.001_0.001_0.15_0.2_(256; 256)_(256; 256),200,0.5531999876350164
5,50_20_0.001_0.001_0.15_0.2_(256; 256)_(256; 256),300,0.4917999890074134
5,50_20_0.001_0.001_0.15_0.2_(256; 256)_(256; 256),400,0.7587999830394984
5,50_20_0.001_0.001_0.15_0.2_(256; 256)_(256; 256),500,1.0496999765373767
5,50_20_0.001_0.001_0.15_0.2_(256; 256)_(256; 256),600,1.1575999741256238
5,50_20_0.001_0.001_0.15_0.2_(256; 256)_(256; 256),700,1.1347999746352435
5,50_20_0.001_0.001_0.15_0.2_(256; 256)_(256; 256),800,1.1738999737612903
5,50_20_0.001_0.001_0.15_0.2_(256; 256)_(256; 256),900,0.7114999840967358
5,50_20_0.001_0.001_0.15_0.2_(256; 256)_(256; 256),1000,0.8627999807149171
6,100_1_0.001_0.001_0.15_0.2_(256; 256)_(256; 256),100,0.9685999783501029
6,100_1_0.001_0.001_0.15_0.2_(256; 256)_(256; 256),200,0.9700999783165752
6,100_1_0.001_0.001_0.15_0.2_(256; 256)_(256; 256),300,0.8357999813184143
6,100_1_0.001_0.001_0.15_0.2_(256; 256)_(256; 256),400,0.7837999824807048
6,100_1_0.001_0.001_0.15_0.2_(256; 256)_(256; 256),500,0.672899984959513
